Unique_ID,MORTGAGE NUMBER,PROPERTY VALUE,MORTGAGE PAYMENT,GDS,LTV,TDS,AMORTIZATION,MORTGAGE AMOUNT,RATE,MORTGAGE PURPOSE,PAYMENT FREQUENCY,PROPERTY TYPE,TERM,FSA,AGE RANGE,GENDER,INCOME,INCOME TYPE,NAICS CODE,CREDIT SCORE,RESULT
CAX_Train_25108,25108,148000,768,31.95,65.0,56.78,360,130000.0,4.5,Refinance,Monthly,Townhouse Freehold,24,N2E,40-44,Female,39000,2,56,784,FUNDED
CAX_Train_35282,35282,580000,2819,5.37,75.36,37.74,360,520000.0,4.5,Refinance,Monthly,Semi-Detached,24,M3A,50-54,Female,176000,2,54,717,FUNDED
CAX_Train_15462,15462,450000,2891,28.53,64.35,28.53,360,575000.0,5.0,Refinance,Monthly,Single Detached,12,L3S,70 and over,Male,130000,8,72,0,FUNDED
CAX_Train_12736,12736,850000,3993,27.17,80.0,30.0,360,680000.0,5.0,Purchase,Monthly,Single Detached,12,L3Y,25-29,Male,505000,8,23,743,FUNDED
CAX_Train_29414,29414,360000,1900,26.6,66.67,26.76,240,240000.0,5.0,Refinance,Monthly,Single Detached,36,L1T,35-39,Female,93000,2,54,618,FUNDED
CAX_Train_43449,43449,520000,2278,19.03,80.0,33.8,360,416000.0,3.5,Purchase,Monthly,Single Detached,24,L9G,25-29,Male,150000,8,11,725,FUNDED
CAX_Train_39696,39696,400000,1920,15.15,80.0,42.06,360,320000.0,4.0,Purchase,Monthly,Single Detached,12,L4N,35-39,Male,164000,8,54,685,NOT FUNDED
CAX_Train_8382,8382,424000,1559,8.75,65.0,56.59,360,318210.9,4.25,Purchase,Monthly,High Rise,12,L6G,55-59,Female,71000,2,56,678,NOT FUNDED
CAX_Train_15987,15987,940000,3970,27.7,75.01,40.24,360,705000.0,4.0,Purchase,Monthly,Single Detached,12,L6P,40-44,Female,185000,8,56,649,FUNDED
CAX_Train_16131,16131,563000,2263,16.42,48.81,38.45,360,275000.0,6.0,Purchase,Monthly,Single Detached,12,L7A,40-44,Female,63000,3,56,691,FUNDED
CAX_Train_14954,14954,310000,1545,37.74,73.96,37.74,360,229270.0,5.5,Refinance,Monthly,Townhouse Condominium,36,L6S,55-59,Female,30000,2,56,505,FUNDED
CAX_Train_13323,13323,455000,2150,33.75,77.36,35.36,360,352000.0,5.0,Refinance,Monthly,Semi-Detached,24,L5V,55-59,Female,80000,8,71,639,FUNDED
CAX_Train_30398,30398,485000,2200,23.81,80.0,26.39,360,393750.0,4.5,Refinance,Monthly,Single Detached,12,M1J,35-39,Unknown,67000,2,44-45,691,NOT FUNDED
CAX_Train_43409,43409,850000,3598,10.99,75.0,44.35,360,637500.0,4.25,Refinance,Monthly,Single Detached,12,L4N,45-49,Female,240000,3,53,718,FUNDED
CAX_Train_18435,18435,308000,1557,34.32,80.0,35.46,360,246320.0,4.75,Purchase,Monthly,Single Detached,24,L8V,65-69,Male,58000,8,56,0,FUNDED
CAX_Train_19215,19215,440000,1758,22.78,68.16,37.38,360,299900.0,4.0,Purchase,Monthly,Single Detached,12,L9R,40-44,Male,8000,2,56,771,FUNDED
CAX_Train_33083,33083,541000,2287,20.89,65.91,38.35,360,356250.0,5.5,Purchase,Monthly,Single Detached,12,M8Y,60-64,Female,140000,8,71,739,FUNDED
CAX_Train_32219,32219,850000,3342,35.63,75.0,37.08,360,680000.0,4.25,Refinance,Monthly,Single Detached,12,T3H,50-54,Male,98000,8,81,683,FUNDED
CAX_Train_35254,35254,367000,1695,2.9,75.0,43.36,360,293600.0,4.75,Purchase,Monthly,Single Detached,12,L3V,30-34,Unknown,215000,8,56,752,FUNDED
CAX_Train_38273,38273,1200000,5843,28.88,80.0,57.74,360,960000.0,5.5,Purchase,Monthly,Single Detached,12,L4E,30-34,Male,248000,8,44-45,695,NOT FUNDED
CAX_Train_40054,40054,383000,1733,16.2,75.0,35.38,360,287250.0,5.0,Purchase,Monthly,High Rise,36,M6K,55-59,Unknown,151000,8,31-33,762,FUNDED
CAX_Train_30675,30675,360000,808,4.0,80.0,38.8,360,287920.0,4.5,Purchase,Bi-Weekly,Townhouse Freehold,12,L1N,25-29,Male,178000,2,52,797,FUNDED
