Unique_ID,MORTGAGE NUMBER,PROPERTY VALUE,MORTGAGE PAYMENT,GDS,LTV,TDS,AMORTIZATION,MORTGAGE AMOUNT,RATE,MORTGAGE PURPOSE,PAYMENT FREQUENCY,PROPERTY TYPE,TERM,FSA,AGE RANGE,GENDER,INCOME,INCOME TYPE,NAICS CODE,CREDIT SCORE,RESULT
CAX_Train_12784,12784,700000,2017,11.39,42.86,25.65,360,420000.0,5.0,Refinance,Monthly,Single Detached,12,L0L,70 and over,Male,226000,8,23,679,NOT FUNDED
CAX_Train_6494,6494,700000,1863,38.45,54.71,38.45,360,320000.0,4.25,Refinance,Monthly,Semi-Detached,12,L6A,30-34,Female,63000,8,48-49,577,FUNDED
CAX_Train_14505,14505,375000,1789,22.38,80.0,25.57,360,304000.0,5.0,Refinance,Monthly,Semi-Detached,36,M9L,45-49,Male,101000,2,56,636,FUNDED
CAX_Train_2457,2457,290000,3098,23.43,74.99,31.48,360,217725.0,4.5,Purchase,Monthly,High Rise,24,L3R,25-29,Female,75000,2,54,691,FUNDED
CAX_Train_30892,30892,505000,3809,29.02,78.954,42.76,360,604000.0,5.25,Refinance,Monthly,Single Detached,24,L6P,40-44,Male,162000,8,48-49,641,FUNDED
CAX_Train_2055,2055,367000,1617,10.23,40.001,46.84,360,238550.0,6.0,Refinance,Monthly,High Rise,12,M6B,50-54,Female,76000,8,72,662,NOT FUNDED
CAX_Train_32430,32430,245000,1375,2.69,80.0,40.72,360,196000.0,5.25,Purchase,Monthly,Single Detached,12,L1H,35-39,Male,56000,2,48-49,723,FUNDED
CAX_Train_20203,20203,665000,3079,32.26,80.0,38.75,360,531664.0,4.0,Purchase,Monthly,Single Detached,12,L0L,35-39,Male,151000,8,48-49,727,FUNDED
CAX_Train_40354,40354,386000,1669,17.76,80.0,24.35,360,308800.0,4.0,Purchase,Monthly,High Rise,12,M6J,35-39,Unknown,135000,8,51,705,FUNDED
CAX_Train_7544,7544,450000,2575,31.47,80.0,45.35,360,436000.0,4.5,Refinance,Monthly,Semi-Detached,12,L6P,35-39,Female,101000,2,31-33,675,FUNDED
CAX_Train_19742,19742,350000,1677,39.62,70.0,41.15,300,244930.0,5.5,Purchase,Monthly,Single Detached,12,T9E,50-54,Male,60000,2,56,577,NOT FUNDED
CAX_Train_6543,6543,260000,1096,32.08,75.0,32.08,360,194990.0,4.5,Purchase,Monthly,High Rise,12,L4L,45-49,Male,48000,2,56,787,FUNDED
CAX_Train_12622,12622,950000,4554,12.41,75.0,12.44,300,712500.0,6.0,Refinance,Monthly,Single Detached,12,L7L,50-54,Female,511000,6,81,794,FUNDED
CAX_Train_27862,27862,508000,1972,40.1,75.0,40.93,360,381000.0,4.0,Purchase,Monthly,Townhouse Condominium,12,M1T,25-29,Male,40000,2,52,778,NOT FUNDED
CAX_Train_932,932,820000,3784,30.51,80.0,46.24,360,656000.0,4.5,Purchase,Monthly,Single Detached,12,L7A,45-49,Male,169000,8,54,604,FUNDED
CAX_Train_1596,1596,498000,1444,42.56,43.17,42.56,360,215000.0,5.0,Purchase,Monthly,Single Detached,12,L1Z,50-54,Unknown,44000,2,56,544,FUNDED
CAX_Train_24610,24610,568000,2169,13.95,75.0,16.86,360,426000.0,3.75,Purchase,Monthly,Single Detached,12,M1M,40-44,Female,53000,2,56,782,FUNDED
CAX_Train_16997,16997,730000,2962,31.62,74.999,36.44,360,487500.0,4.25,Refinance,Monthly,Single Detached,24,V3S,55-59,Male,120000,8,56,659,NOT FUNDED
